"Year","Make","Model","Used_Certified","Price","ConsumerRating","ConsumerReviews","SellerType","State","DealType","ComfortRating","ReliabilityRating","MinMPG","MaxMPG","FuelType","Mileage"
"2021","Volkswagen","Atlas 3.6L SEL Premium","Used","49500","4.8","42","Dealer","IL","Good","4.9","4.9","16","22","Gasoline","10640"
"2020","Honda","Civic Sport","Used","19800","4.9","169","Dealer","WI","Great","4.8","4.9","29","37","Gasoline","20164"
"2018","Nissan","Rogue SL","Used","26884","4.7","415","Dealer","IN","Fair","4.7","4.7","25","32","Gasoline","53043"
"2021","Honda","Pilot Special Edition","Used","43171","4.8","63","Dealer","IN","Good","4.9","4.8","19","26","Gasoline","22250"
"2017","Hyundai","Tucson SE","Used","18550","4.7","623","Dealer","IN","Good","4.8","4.8","21","26","Gasoline","93960"
"2021","Honda","Pilot Special Edition","Used","42950","4.8","63","Dealer","IN","Good","4.9","4.8","19","26","Gasoline","15002"
"2019","Buick","Enclave Essence","Used","34856","4.6","63","Dealer","OH","Great","4.7","4.6","18","26","Gasoline","26135"
"2019","Buick","Enclave Essence","Used","34888","4.6","63","Dealer","OH","Great","4.7","4.6","18","26","Gasoline","17542"
"2020","Buick","Enclave Essence","Used","36500","4.8","41","Dealer","MI","Good","4.9","4.8","18","26","Gasoline","29500"
"2018","BMW","X5 M Base","Used","70996","4.8","6","Dealer","GA","Fair","4.7","5","14","19","Gasoline","33757"
"2021","Genesis","GV80 2.5T","Used","55841","4.8","19","Dealer","GA","Great","4.9","4.6","21","25","Gasoline","26663"
"2021","Chevrolet","Tahoe Z71","Used","70490","4.5","37","Dealer","GA","Good","4.6","4.3","16","20","Gasoline","24054"
"2021","Genesis","GV80 2.5T","Used","68988","4.8","19","Dealer","GA","Good","4.9","4.6","21","25","Gasoline","11049"
"2017","Acura","MDX 3.5L w/Advance Package","Used","24950","4.6","133","Dealer","MI","Great","4.7","4.7","19","26","Gasoline","63014"
"2020","Acura","MDX 3.5L w/Technology Package","Used","45996","4.9","50","Dealer","NC","Good","4.9","4.9","20","27","Gasoline","15150"
"2019","Toyota","Tundra SR5","Used","39989","4.8","126","Dealer","PA","Great","4.9","4.9","13","17","Gasoline","30136"
"2021","Cadillac","Escalade Sport","Used","107998","2.9","19","Dealer","FL","NA","3.5","2.1","14","19","Gasoline","28000"
"2020","Chrysler","300 S","Used","34000","4.8","12","Dealer","GA","Good","4.7","4.9","19","30","Gasoline","47552"
"2021","Chrysler","300 S","Used","28500","5","3","Dealer","FL","Great","5","5","19","30","Gasoline","26893"
"2018","Honda","Civic LX","Used","20000","4.8","546","Dealer","FL","Good","4.7","4.8","30","39","Gasoline","42836"
"2020","INFINITI","QX60 Pure","Used","31599","4.8","39","Dealer","FL","Great","4.9","4.9","20","27","Gasoline","48522"
"2019","BMW","X5 xDrive40i","Certified","58992","4.7","55","Dealer","NC","Fair","5","4.6","20","26","Gasoline","17509"
"2020","INFINITI","QX60 Pure","Used","29449","4.8","39","Dealer","FL","Great","4.9","4.9","20","27","Gasoline","49926"
"2019","Honda","Civic Sport","Used","24995","4.9","275","Dealer","MD","Good","4.8","4.9","25","36","Gasoline","49051"
"2020","Lexus","RX 350 Base","Used","47988","4.8","76","Dealer","VA","Great","4.9","4.9","19","26","Gasoline","10913"
"2020","Kia","Sorento LX","Used","28933","4.7","76","Dealer","FL","Good","4.8","4.7","22","29","Gasoline","21055"
"2019","Toyota","Tundra SR5","Certified","39997","4.8","126","Dealer","PA","Good","4.9","4.9","14","18","Gasoline","36236"
"2019","Chevrolet","Silverado 1500 Custom","Used","30490","4.3","245","Dealer","FL","Great","4.4","4.2","16","21","Gasoline","44844"
"2021","Porsche","Macan GTS","Certified","84888","4.9","3","Dealer","DE","Great","4.7","5","17","22","Gasoline","7484"
"2021","Land","Rover Range Rover Sport HSE Silver Edition","Used","86995","4.8","6","Dealer","PA","Great","4.8","4.7","19","24","Gasoline","14829"
"2018","BMW","320 320i xDrive","Used","22950","4.9","50","Dealer","PA","Great","4.9","5","23","34","Gasoline","31948"
"2019","Mazda","Mazda3 AWD w/Preferred Package","Used","16499","4.8","36","Dealer","PA","NA","4.8","4.7","25","33","Gasoline","15875"
"2018","BMW","320 i xDrive","Used","24985","4.9","50","Dealer","NJ","Fair","4.9","5","23","34","Gasoline","65946"
"2019","Genesis","G80 3.8","Used","38000","4.7","28","Dealer","NJ","Fair","4.7","4.6","18","24","Gasoline","20870"
"2020","Hyundai","Santa Fe SEL 2.4","Used","28459","4.8","202","Dealer","NJ","Great","4.9","4.9","21","27","Gasoline","28466"
"2020","Hyundai","Santa Fe SEL 2.4","Used","31991","4.8","202","Dealer","NY","Good","4.9","4.9","21","27","Gasoline","13924"
"2020","Tesla","Model Y Long Range","Used","65995","3.7","10","Dealer","NY","Great","3.9","4","127","114","Electric","9561"
"2019","Mercedes-Benz","S-Class S 560 4MATIC","Certified","71242","4.6","14","Dealer","NY","Great","5","4.3","17","27","Gasoline","25046"
"2019","Jeep","Grand Cherokee Altitude","Used","33750","4.8","224","Dealer","NY","Great","4.9","4.8","18","25","Gasoline","25815"
"2020","Acura","MDX 3.5L","Used","39412","4.9","50","Dealer","NY","Great","4.9","4.9","19","26","Gasoline","12374"
"2017","BMW","M3 Base","Used","55863","4.7","11","Dealer","NY","Great","4.3","4.9","17","26","Gasoline","19847"
"2020","Toyota","Tacoma SR","Used","33888","4.7","123","Dealer","NY","Great","4.7","4.8","18","22","Gasoline","18675"
"2020","Acura","MDX 3.5L w/Technology Package","Used","39900","4.9","50","Dealer","MA","Great","4.9","4.9","19","26","Gasoline","12304"
"2021","Tesla","Model Y Long Range","Used","71277","4","15","Dealer","NH","Good","4.1","3.8","131","117","Electric","15002"
"2018","Toyota","4Runner Limited","Used","39919","4.8","253","Dealer","MA","Good","4.8","4.9","17","20","Gasoline","46525"
"2019","Subaru","Forester","Used","26200","4.7","279","Dealer","NH","Good","4.8","4.8","26","33","Gasoline","30403"
"2018","Cadillac","XT5 Premium Luxury","Certified","33682","4.8","131","Dealer","NV","Good","4.8","4.8","19","26","Gasoline","45313"
"2020","Tesla","Model Y Long Range","Used","73992","3.7","10","Dealer","CA","Good","3.9","4","127","114","Electric","12332"
"2019","BMW","X3 sDrive30i","Used","35400","4.7","99","Dealer","CA","Good","4.7","4.6","23","30","Gasoline","34565"
"2019","BMW","X3 sDrive30i","Used","31995","4.7","99","Dealer","CA","Fair","4.7","4.6","23","30","Gasoline","57583"
"2018","Honda","Civic EX-T","Used","26955","4.8","546","Dealer","CA","Good","4.7","4.8","31","40","Gasoline","12123"
"2019","BMW","X5 xDrive40i","Used","54998","4.7","55","Dealer","CA","Fair","5","4.6","20","26","Gasoline","14950"
"2020","Toyota","Corolla SE","Used","18500","4.7","233","Dealer","AZ","Great","4.7","4.8","31","40","Gasoline","10514"
"2018","Toyota","4Runner Limited","Certified","42727","4.8","253","Dealer","AZ","Great","4.8","4.9","17","20","Gasoline","39866"
"2020","Ford","Expedition Max Limited","Used","49499","4.5","15","Dealer","AZ","Good","4.7","4.3","17","23","Gasoline","59742"
"2021","Subaru","Forester Sport","Used","29700","4.9","109","Dealer","ID","NA","4.9","4.9","26","33","Gasoline","13925"
"2020","Ford","Edge Titanium","Used","34997","4.9","141","Dealer","ID","Good","4.9","4.9","21","28","Gasoline","60802"
"2020","Subaru","Ascent Touring 7-Passenger","Used","42505","4.8","83","Dealer","CO","Good","4.8","4.8","20","26","Gasoline","12090"
"2019","Chevrolet","Silverado 1500 RST","Used","47988","4.3","245","Dealer","CO","Good","4.4","4.2","19","22","Gasoline","26589"
"2020","Lexus","RX 450hL Base","Used","56500","5","1","Dealer","WA","Good","5","5","29","28","Hybrid","11559"
"2021","Subaru","Forester Premium","Used","28400","4.9","109","Dealer","ID","NA","4.9","4.9","26","33","Gasoline","14634"
"2019","Volvo","XC60 T5 Inscription","Used","40968","4.9","82","Dealer","TX","Good","5","4.9","22","29","Gasoline","34148"
"2019","Volvo","XC60 T5 Momentum","Certified","43968","4.9","82","Dealer","TX","Fair","5","4.9","22","29","Gasoline","32356"
"2019","Volvo","XC40 T5 R-Design","Used","42962","4.8","103","Dealer","TX","Good","4.9","4.7","23","31","Gasoline","15038"
"2020","BMW","X5 sDrive40i","Used","55901","4.7","53","Dealer","TX","Fair","4.8","4.7","21","26","Gasoline","31831"
"2019","Mazda","CX-5 Grand Touring","Used","29895","4.8","230","Dealer","TX","Good","4.8","4.8","25","31","Gasoline","30322"
"2019","Toyota","4Runner Limited","Used","46991","4.8","189","Dealer","TX","Good","4.8","4.9","17","20","Gasoline","39855"
"2019","BMW","M850 i xDrive","Used","77480","5","5","Dealer","TX","Good","5","5","18","25","Gasoline","34021"
"2020","Dodge","Challenger SXT","Certified","30595","4.9","72","Dealer","TX","Good","4.9","4.9","19","30","Gasoline","33296"
"2021","Tesla","Model 3 Performance","Used","65786","3","1","Dealer","TX","Good","3","1","118","107","Electric","32600"
"2018","Hyundai","Santa Fe Limited Ultimate","Used","24750","4.7","75","Dealer","TX","Great","4.7","4.8","17","22","Gasoline","32770"
"2020","Dodge","Challenger SXT","Used","32290","4.9","72","Dealer","TX","Great","4.9","4.9","19","30","Gasoline","20396"
"2019","Ford","F-150 XLT","Used","42995","4.8","425","Dealer","SD","Good","4.9","4.7","18","23","Gasoline","19615"
"2019","BMW","330 i xDrive","Used","39521","4.9","30","Dealer","MO","Fair","4.9","4.9","25","34","Gasoline","39669"
"2019","Honda","CR-V EX","Used","28693","4.8","540","Dealer","TX","Good","4.8","4.8","28","34","Gasoline","30340"
"2020","Acura","MDX 3.5L w/Technology Package","Used","41499","4.9","50","Dealer","TX","Great","4.9","4.9","20","27","Gasoline","30260"
"2017","Subaru","Impreza 2.0i","Used","16823","4.8","175","Dealer","MN","Great","4.7","4.8","28","38","Gasoline","40060"
